clean_text,label
normal wave guy see asteroid ahead ocean fine release tsunami release tsunami warn human,1
btw volcanic eruption strong triggered tsunami advisory japan shockwave eruption heard far alaska yeah almost away,1
survive hurricane tornado massive wall water odds low,1
fishermen warning about unusually strong currents,1
cyclone impact huge waves hitting the coast,1
beach closed due to dangerous waves authorities alert,1
sunami hit seychelles,1
lady turkey look concerned tsunami,0
covered death,1
thats tsunami bomb,1
chucknorris yes boxing day british,0
erk easter celebration jesus rising dead going heaven dad god,0
sooo black jesus,1
affected japan,1
high one fast,1
recorded,1
yeah,0
video actually show scale wave hit imagine tsunami look like holywood disaster film usually wall water actually high relentless energy behind insane utterly mental,0
movie impossible based right,0
amazing mention one horrific,0
jesuschristwon spamming religious nonsense kid nobody belief childish mythology tale,0
jesuschristwon real kid story invisible sorcerer exist real life,0
lordofthepancakes real omg,0
posted year ago,0
wrong mega tsunami foot,1
tsunami deadliest record,1
late,1
omg crazy,0
coastal erosion getting worse land disappearing in minutes,1
died tsunami rescued brought back shore dolphin,0
japan main place tsunami,1
mean tornado suck,1
prop lady strolling rising tsunami water,1
wave height increasing rapidly this looks like an emergency,1
japan death,1
earth quake mile away water building shaking etc ensuing tsunami caused damage,1
total devastation,1
majority building survived made concrete,0
yeah withstand tsunami wave water would survive tornado,0
tsunami siren heard people rushing to safer areas,1
live oregon coast mtns protection always seems feel lil dangerous visit coast,1
damage place huge went back forth stopped place looking place avoiding seems dangerous first video seen never seen long tsunami hard,1
scary thing tsunami foot tall far sea become dangerous sea floor begin rise approach land mass,1
laughing,0
dog barking sens danger coming,0
wow terrible tragedy many people lost life animal always sense danger long sadly,0
dangerous,0
seems like dog warning imminent danger,1
dog trying tell danger coming,0
god,0
happychinese new uear,0
horrible tragedy,1
yukihide,0
danielle,0
laughter turn despair,0
wave hit hard death followed rip soul,1
warning advisory tsunami decoy hmm,1
fake news distract eptein file,0
fake,0
distraction,0
old news,0
right epstein stole young girl trump gop strict rule governing etiquette raving pedoes,0
watch left like get warning like texas,0
alert texas protect child camping,0
exactly,0
flood happened minute predictable wave happens hour dipshit,1
already got flooded,1
warning day,1
thought prayer apparently miracle,0
earthquake weapon,0
hopefully trump budget cut wont cause many fatality,0
california surf alert drawn,1
relax nothing gonna happen,0
prophecy abyss opening brace,0
nothing burger next,0
nothing happened take vaccine,0
mommy sitting tree,0
ridiculous agency caused panic wild prediction turned lot nothing,0
cnn say white tsunami,0
release file,0
story reminds time trump hit stage,0
tee eff yew,0
survived,1
dead,1
hey news team done past back focus epstein file,0
anybody else feel like artificial intelligence fear algorithm think really care evacuation know saying know trust anybody know sad always think something,0
thanks,0
massive fire alert tsunami massive alert,1
pretending,0
wrong warning pushed back fire stupid,0
different administration,0
great tsunami last november,0
tsunami warp around island look,1
loss either case,0
fox sewer,0
stinky jealous,0
help wonder next episode view somehow blame earthquake trump,0
japanese people get hit foot wave wanna cry big tsunami hit unless rogue wave like movie tsunami like wave ocean,1
hawaii tsunami warning alarm fire alarm,1
also missile incoming warning,0
god,0
duh evacuate lol,1
russia sending tsunami wave administration,1
another natural disaster trump administration ignore,1
fine,0
nice,0
good lived oahu,0
tsunami come midterm massive blue wave,1
seek help loon,1
the 3rd one is a flood not a tsunami they are common here in turkey get your facts right,1
that turkish lady didn t give a fuck,0
his spanish is horrible,0
hay 2 tipos de tsunamis los de verdad y los de hollywood,1
5 12 that lady was confused as hell,0
3 12 kuromashinaisisddas,0
2 00 woooooooaaaaaaaaahhhhhhhh,0
is the first one a i generated or c g i or are those synonymous,0
we wanna see 50 100m waves caught on camera not sissy waves like these,1
where we live we have two gullies between us and the ocean so i always hope we re safe,0
not a single big wave hitting shore in this whole damm video damm what was the title here click baited to many times i gotta unsubscribe to this channel,1
the younger dyus extinction circa 10 900 b c caused a 400 ft rirse in sea level whan a very large comet broke apart melting the north american and greenland ice sheets that were 1 to 2 miles deep the u s megafauna and clovis tribe was wiped out massive tsunamies earth quakes fires ice age caused world wide devastation,1
it s just big waves,1
oahhhhhh ohhhhhh,0
it s called the paradise tax,0
my heart still breaks for the japanese people so many people who have lost loved ones especially the children and elderly i love the japanese people their kindness respectful honor they are brought up learning it s very sad,0
ai speculation at best fear mongering from the liberal left they will start claiming man made climate changes caused by fossil fuel use caused earthquakes and volcanoes,1
why do people stand there like this will be great for the internet like why r they so stupid,0
what the fuck kind of animation was that a water column may only rise vertically perpendicular to the ocean floor fukin ai bullshit,0
it s not so much the height of the wave which is obviously important but the wavelength wind waves such as what surfers like to ride can get very tall but have very short wavelengths and thus will crash on shore and dissipate quickly the energy of a long wavelength wave will just continue to push inland even long after the peak has passed,1
it is called a tidal wave stupid people,1
fake pictures in the beginning not interested in this junk waste of time,0
time to float,0
we had a tsunami but it did not hit us,1
you why do people ignore warnings and leave cars there by retainer walls stupid,1
they don t even mention the deadliest tsunami in recorded history the 2004 indonesia earthquake and subsequent tsunami that killed an estimated 250 000 people,1
that was japan and not china,0
2 04 you re my sexy juice taco,0
,0
the last japanese tsunami left around 230k homeless but that was also the boxing day indian ocean death toll shit man that s some sobering peperspective,1
3 55 minamisan riku was erased from the map watch that video 27 meters of water is an impressive sught to behold,0
the most terrifying natural disaster to exist hands down,1
why are these called acts of god mother nature is the one doing this sh t always the woman not the man,0
6 25 h u n g a t u n g a h u n g a h a,0
19 000 dead is crazy,1
brotha you gotta be kidding me that 2022 tonga tsunami is considered normal wave in my home,1
,0
canary islands landslide from volcanic ground water into steam below surface caused a landslide and tsunami,1
and japan is the most prepared in the world yet death and destruction followed,1
when to head to the mountains,0
seiche waves,1
riding it out,0
lituya bay 1959 largest ever mega tsunami 900 feet high or greater alaska,1
but if i remember the story right very little if any of the wave got out of the bay,1
rogue waves tsunami,1
tsunamis is v based on the shape of the basin,1
40 meters high i dont think so,0
eh these video clips suck there s ones 1 000x better than this this is weak views compared to what i ve seen,0
tsunamis can t form just anywhere shows rogue wave in the middle of the ocean in the thumbnail calls it tsunami,1
which one do you think was the rouge wave that shot from the coast guard cutter was shot as it went over the first tsunami there were no rouge waves anywhere in this video,1
what a fascinating video the power of nature is truly incredible however i can t help but wonder if we should be doing more to prepare for such events instead of just capturing them on camera it seems like a missed opportunity to focus on prevention and awareness what do you all think,0
fun fact most of the earthquakes and tsunamis in japan are caused by godzilla gottzirrah,1
this video is really impressive and the cinematography is top notch however i can t help but wonder if we re sensationalizing these disasters a bit too much while it s essential to raise awareness do you think showing these extreme moments might lead to more panic than understanding,1
i laughed hard when the narrator said that the underwater volcanos name is tonga honga kinga konga,0
finally a video that s not ai,0
this is bad n sorry for the people affected but the say like the waves are as tall as the empire state building n i thought that didn t sound right the whole world would have drowned,1
what about lituya bay,0
guys i think i found elon musk in the video at 5 49 the guy all the way to the left in the photo yellow helmet guy second one to the left of the screen we found him,0
being in aus we got a warning luckly we didnt get anything,1
wow this video is really impressive and captures the power of nature beautifully however i can t help but wonder if showcasing such extreme events like this can glamorize natural disasters and make people less aware of the dangers involved it s a complex issue for sure but i d love to hear what others think,1
you forgot about the largest tsunami of all time the lituya bay mega tsunami,1
fun fact september 28 was my birthday,0
waves were not 40 5 meters they looked like 10 or15 meters at the most,1
3 00 wow that s incredible how fast that water is moving,0
do you know mother nature maybe is doing this,0
how could you forget the 2004 boxing day tsunami that hit thailand and everywhere else down there those were the most impressive videos of the waves caught on camera,1
what is that grandma doing,0
2 04 sexy juice taco,0
lol sounded like it i wonder what was actually said,0
,0
guys help me i m in singapore there is a earthquake pls help me,1
no one can help you expect allah say who is he who can protect you from allah if he intends to harm you or intends mercy on you and they will not find besides allah for themselves any wali protector supporter etc or any helper,0
a r man shut up you little tic,0
a r man bro he she isn t muslim,0
a r man shut up,0
brookeelisabethuk why the lack of manners and disrespect for others,0
no,0
blueknightroblox you don t know english that s why,0
god can help,0
bro we can t help you,0
hysterical camera man in panic,0
don t forget about the fukushima nuclear disaster in japan after earthquake,1
i am going to japan i m scared,0
5 01 bro was like aw man my new shoes are damp,0
bro i was born on september 28th 2009,0
youtube is really pushing these kamala harris adds,0
21 2004 200 000,0
10 20 the power of god not nature mother nature or any other ridiculous word,0
hha god knows nothing he died when darwin talked about evolution,0
pados music i care too little to justify an answer to a rabbi no offense,0
oscargreat no offence but i am not a rabbi just an atheist,0
pados music sorry i would have believed it unless i knew that you were one not that it would make much difference because both are the same but still you are let s pretend i did believe you which i don t since i know for sure but still can two monkeys have human babies face purple crying,0
oscargreat that comment shows why i cannot take you seriously you say you know for sure things about me but you know nothing about me you make the same argument about evolution all the religious fanatics do you haven t seen two monkeys bring a human baby in life but i guess you have seen god making miracles despite the laws of physics,0
when they showed the 3d pov when everyone is running from the tsunami that one woman just walking having a good time,1
people grabbing masks while the world shakes was alarming,0
im so glad i found this channel people gotta check out rhe police videos there awesome,0
who tf names these volcanoes man,0
did the ship crew call in the pending disastrous waves coming,1
stay hydrated lol,0
omg so funny,0
dynasingh2969 bro why comment if you don t find it funny i know 8t was cringe but you don t have to be like that about it,0
what happened to the nba music and men in general was a planned assault on boys masculinity in the schools by the female dominated teachers unions comprised of activist women s libbers lesbians and gays they actively suppressed the boys development into men with their war on testosterone and attacked their self confidence while doing the exact opposite with the girls boys are not the same as they were 60 years ago to us older guys it jumps out at you boys now act more like the girls of 60 years ago in fact i believe the girls of our time were even tougher than most of the boys i encounter today now they are more sensitive and shudder at political incorrectness or an off color joke in short mostly they seem wimpy and pussy whipped,0
none of this is as bad as it appears we have great users of cgi if you look closely you can easily spot the edits loss of meaningful human life is minimal those that did kick it were simply from third world countries their deaths are not relevant to the rest of us,1
the depth of the water behind the first wave in the coast guard video is much higher than in front of it many of the clips from the 2011 tsunami show an uprising of the water rather than a typical breaking wave its like the ocean takes a deep breath but never exhales poor people in all these videos the one in samoa is astounding,1
because is us territory,0
krakatoa was a big version of the hunga tonga hunga hapaai volcano in the year 1883,0
what about the indian ocean boxing day tsunami 230k killed smfh,1
don t mind the fbi getting taken out there crooked anyway,0
water seeks its own level,0
video sucked,0
5 02 i do not believe that person still have mask on omg some people are so stupid,0
need to translate wooukk wooouk wuk oooooh ah,0
you forget to include the 2004 indian ocean tsunami which is actually the world s most deadliest tsunami ever in 2004 indian ocean tsunami took the life of more than 250000 people,1
and that truly was a doozy,0
i love this vid,0
honga tonga honga huhhhhwah,0
1 20 damn one day after i was born,0
,0
dayum,0
we got you on camera the camera 0 29,0
i cause tsunami myself in the bath tub it s pretty cool i think,1
i havnt realized just how powerful even a little 5 foot wave is until i went in the ocean one day and thought standing infront of one would be a good idea being able to knock around any person who just stands there without ducking under or anything these tsunamis really can just knock buildings out and toss cars around easily,1
i agree like how did onilink make this like how many triggers did this take,0
2 11 when an earthquake occurs far out in the ocean it allows the wave to travel for miles collecting more and more water as it goes oh is that what is happening the world is getting dumber,1
a wave is not known for forming out in open ocean it forms when it reaches shallow land waves like that are generated by other means,1
how can you estimate a number that specific,0
3 40 waves 130 ft high and reaching 400 mph absolute horseshit that is total nonsense and not accurate at all,1
new top 1,0
fr,0
feysteii yes,0
40 5 meters was the run up the actual wave was only about 10,1
tsunami 1 52 2 02 japanese seductive grunts,1
i live blocks away from the largest lake in idaho and we have records of 2 tsunamis in the past 200 years so they don t just happen in oceans,1
ive stumbled into the dumb part of youtube goodbye,0
im triangle angel of god there is a earthquake in the making off the coast of california stay away from the coast lines off the coast of california tsunami warning,1
on the fifth the video you can see the rest in the background,0
i forgot what the video was about you talk too much just show the videos,0
w wow this is really scary and yeah,0
i wish these guys would be realistic about tsunami s a tsunami is not so much a tidal wave as it more likely is a tidal bore for example he says the this tsunami was estimated fancy word for guessed to be 40 5 meters or rather 133 ft tall wave that s roughly equivalent to a 13 story building that just wasn t seen even that wave that the coast guard cutter motored over was more like in the range of 30ft instead you saw a very large tidal bore that kept coming and coming i think the highest wave was measured at about 60ft the vast majority of waves were more in the range of 20 30ft that s not to say that this wasn t a disaster in the making it was it just not as sensationalist to say such things as a wave is as tall as a big building,1
of 2011 on japan 9 2 earthquake 30 feet tsunami,1
40 meters sounds like extreme embellishment,0
tidal wave song from geometry dash starts playing,1
shiawase v i p,0
there were no tsunami warnings sirens,1
pov ur trying to find an comments that doesn t says waves tsunami,1
show me one 5 wave in this vid tsunami s are surges of water not gigantic waves,1
so fucking fake,0
gurl,0
you bright side or the 1f,0
you forget indian ocean tsunami 2004 im sri lanka,1
tsnaumis are terrifying,0
the one factor which didn t get enough coverage was the speed of the waves when they hit land the films show land getting flooded and some strength enough to push cars around but you did mention in the beginning of the video the speed of the water but then forgot to continue to emphasize that fact and in these areas susceptible to tsunami s do the building have protection from being swept away,1
brought to you by the us federal government oops i mean my pillow,0
good thing the japanese ship didn t pull a poseidon adventure maneuver,0
5 09 woman chilling and touring as tsunami wave arrives,1
remember the cameraman never dies,0
alternate title barely any video evidence of monster tsunami waves what a huge disappointing video where are these 30 40 ft waves idgaf to see two feet of water traveling on a fuckin parking lot,1
he fucking shook the camera the whole time terrible,0
could you imagine living in a place where you just casually watch another million gallons of water flowing towards you like no big deal just another day,0
why do they always show sunamis as giant 100 foot waves or bigger biggest film i ve ever seen is bout normal wave size or bigger,1
sensationalism however google lituya bay tsunami tho,1
it went throught the wave so smoothly,1
for a second there i thought that was cartoony,0
far out to sea is where you want to meet a tsunami,1
yep,0
true bc the tsunami is small at the time,1
lemonman r4v yep,0
yeah because it gets bigger the further it goes right,0
jonahdelagarde9807 close but not exactly it gets bigger the shallower the water out at sea the water is deepest,0
keepdancingmaria oh okay thanks,0
keepdancingmaria right regular tsunamis are little more than shockwaves in the open ocean they don t become large waves until the shockwave slows down the sea floor gets shallower and the water gets pushed upwards huge waves far out to sea are either rogue waves storm waves or mega tsunamis the latter of which would have traveled from somewhere close to a shore and caused by a landslide or some huge underwater disturbance,1
just wait till an asteroid hits the ocean we will see a real tsunami then,1
wow number 3 video of water up to peoples calves incredible,0
i think you should use a different description how can anyone enjoy this video,0
5 05 dude doesn t care,0
my ass on a surfboard lol,0
imagine swimming when you get pulled like a mile in to the ocean then turning around to a giant wave that s about to swallow you,1
this reminds me that there are genuinely people out there that are so stupid that they stand there on the beach with their phones out recording it when the ocean recedes stupidity that means you deserve to die atp natural selection,0
tectonic plate shift aka nuclear bomb exploded deep underwater you d be horrified just how many natural disasters were purposely man made,1
a tsunami can occur anywhere you have a body of water tsunamis are also a transfer of energy not water this narrator is very wrong about tsunamis,1
only issue i have with this are all the images of large breaking waves tsunamis like hurricane storm surge are long wave rises in water level not giant breaking surf on the beachhead,1
tsunami s are beautiful,1
the worse tsunami is the cause by land slide because they can be big and the land slide can provoke a flow of air forcing the water in one way,1
the guy in the first video going ooooohhh waaahhhhhooooo is the proper reaction to that shit lol,0
2 stories is about 20ft so if 20ft of water hits say goodbye to the average home nature doesnt play around,0
how was the 2004 boxing bay tsunami not on this list by far the worst in recent memory with very sobering footage of the giant waves coming to share with helpless people still on the beach,1
too much talking show the footage and shut up,0
finally a video that doesnt clickbait the thumbnail,0
lol fr,0
i highly doubt said waves reach 400 some mph that absurd,1
woman wears mask because authorities told her to but doesn t speed up her casual stroll at all to escape the rapidly rising water,1
perhaps because no authorities told her to pick up her pace if authorities didn t mandate the mask she probably would ve taken her chances with covid as well,0
its hard to imagine how powerful these waves are when looking at them it isn t until you witness them pushing cars around like toys that you start to get an idea of their force,1
true but cars become more buoyant when windows are closed this makes it much easier for the water to push the cars around a concrete block is much harder to move compared to an air filled car,0
you ve clearly never seen me at the gym bro,0
senator don t be a cornball,0
doesnt matter what have seen on line there is nothing have ever seen quite like tsunami,1
can you just stop speaking and play the video,0
after watching this video im convinced that real tsunamis don t exist you never actually see a tsunami wave or a wave crashing on shore like a movie or something it s literally just a big ass flood there is no wave or wave crash on shore the wave is in the ocean but it never crashes or has the effect of actual wave crash that does damage if someone can stand on the beach itself filming a video saying look at the tsunami as only water rushes towards them like a flood that s not a tsunami wave at 9 30 it said footage of a wave hitting the cars there was no actual wave it literally only showed water flooding in the rough of it and no wave at all all the footage in this video showed water flooding none of a actual ginormous wave crashing on shore like you believe a real tsunami wave would do stop calling these tsunamis make a word for giant flood because that s all these were,1
prove me wrong and show me footage of a giant ass however many foot wave actually crashing on shore and destroying a city i would love to see it because if your filming a tsunami and can still see the horizon line in the ocean there is no wave just floods,1
how you left out the indonesia tsunami in 2004 boggles the mind research a bit more when you do these videos,1
your 3 tsunami has to be one of the saddest examples particularly as it follows the 3 11 11 japan tsunami with 20 000 deaths and entire cities wiped out i particularly like the elderly woman meandering down the alley as the ankle deep water pushes on through,1
monster waves really freaking drama queen,1
most dangerous hello i hope everything is well can you please list the track and artist of the song that is playing 4 53 it would be much appreciated,1
this channel is copying underworld very accurate,0
the waves traveled at speeds nearing 700 km h how does this reconcile with the slow ass wave the ship rolled over in the video you can t just say something like that and not explain more,1
will if you re getting disaster after disaster then build differently rebuilding the same way thinking different out come is insane,1
the people who just casually continued walking as the water flooded i would freak out even if it didn t get crazy high or fast,1
no one gona talk about that person who walks from the tsunamis like it s noting,1
he was like ugh this sh t agaun,0
i m glad i live in western pennsylvania far away from the flat tornado lands and the oceans,0
1 39 is not a tsunami tsunamis take 20 minutes to go under a ship these are surface waves that go under the ship in a few seconds not tsunamis,1
i think it s impossible for the average person to understand tsunamis are not high waves they are long waves they are 500 miles long even a 5 foot tsunami can flood a town,1
did the coast guard call it in ohhh hell not or thee athoaridies release the worning ohhhhh hell no,0
i like how he said it collects more water from where i mean it s not technically collecting more water it s using the water the sea has it s not like the sea said we should go collect a lake,0
the power of those three waves alone could probably create enough energy to light the world for 1000 years,1
there is a japanese movie about the heroic efforts to save the nuclear power plant i forgot the name,1
masturbations,0
i dont believe the estimates of how high some of these are i mean come on 40 metres high that is over 100 feet ffs the waves on these videos were no more than 30 feet at most i think they exaggerate a lot,1
ooooo gojira,0
too bad lisa page and peter strock wasn t in the fbi building that would have been entertaining,0
but but but climate change,0
i fished the north sea during storm months for lobster shrimp and crab sometimes we d get tossed around by waves 40 feet high plenty of guys were puking below deck and some of them even pooped themselves or peed a little,1
that drunk old woman gave no f s lol,0
clickbait the first picture that you see on this yt add is altered and fake,0
the tsunami is when the wave reaches mainland not the wave itself but only when it crashes the wave in the ocea is called a tidal wave,1
it s not the stage of the wave that defines its name but the cause tidal waves are caused by ocean tides i e the moon and wind a tsunami is most often caused by an earthquake or asteroid if your name is barney but is created at source and remains a tsunami until it s energy expires usually as it hits land,1
kinda like the difference between asteroids and meteorites cool,0
why is there an fbi office on the american samoa,0
sew narmi is qiut p w ph,0
camera man never dies,0
the quality of that fbi cam,0
8 46 date and year is fine but when you re at it please note the magnitude also,0
7 27 i m impressed that she never sounded hysterical in any way,0
regrow the mangrove forests what else is there to say,0
that really wouldn t be a tsunami wave a tsunami wave out to see is traveling upwards of 500 mph assuming that large of a ship is out in deep water the wave height of a tsunami would be very low because the wave length from peak to peak is so far apart in deep water the ship wouldn t even have noticed it only when it comes in to contact with the land does the wave slow down and start to get taller please get facts correct before posting,1
always with the fake pics of towering crests hitting a beach which never happens in real life ever,0
how do you know that,0
it s like the whole ocean rises often they not gigantic waves but the pressure and height of the whole ocean brings a terrible force,1
nicholasforman1195 because there are geological records of mega tsunamis based on the damage they ve caused to coastlines that was left behind most tsunamis express as a series of inrushing ocean surges not gigantic one off breakers those are mega tsunamis and they re almost always caused by huge cliff collapses underwater explosive eruptions or else asteroid impacts they don t get caused by earthquakes alone,1
go live in japan when one of the tsunami s hit then tell me they don t come crashing to shore,1
so you know all this is fake how,0
dudenjill1 coz it never happens duh,0
sjacrane you have proof it never happens then i suppose japan was just joking when they got hit then,0
dudenjill1 do you possess reading comprehension skills i never said tsunamis never happen or happened i said the ones depicted in movies with towering crests the walls of water never fkn happen,1
actually there is a video on youtube showing the wall of water behind a bridge if i can find it i will post a link,0
sjacrane why yes i do apparently you don t have any comprehension skills you said it was fake did you explain further nope but apparently i and everyone else was supposed to know what you meant there are actual videos of walls of water hitting shore but you don t actually like inform yourself before you speak,0
there are great documentaries of the one that hit thailand years back and yes it was at least a 40 to 50 wave that went right over everything only the people on rooftops of multi storied buildings were spared,1
https youtu be nj mr3p8 dg si b2px9yxysaohg2d,0
ain t nobody tryna hear all that extra shit just show the shit going down,0
people who can t swim would die thank you all for watching,0
it s impossible to swim against the current of a tsunami plus once it makes landfall it s full of debris that can crush people,1
even swimmers can die in tsunamis the force of the water and the debris that it s carrying can kill people,1
its terrifying to think the reason they look relatively tame from these videos is because most people who witnessed the worst of it died,0
no doubt a most unpleasant and bowel content evicting experience rather like waking up to discover biden at the helm,0
the 2011 tsunami was additionally empowered by under water land slides this is why many areas they were larger than anticipated,1
i m got a bungalow now we need to know that s so we need to see that so we need a car so we need to rap i cannot overlike a size and i note the next soccer do you like you organised a scott the dad who buys cupcake dubabout you buy it to skip down,0
uneventful video more bark than bite and you leave out 2004,0
those aren t mountains they re waves,1
in the first clip the fence is a actual chad,0
why is the volcano called honga tanga tanga honga bonga,0
hunga tonga hunga ha apai,0
no one enjoys such videos i found it informative thanks,0
i enjoyed it,0
how is japan not number 1 on this list compared to the japan tsunami the others on the list seemed like nothing,1
i wonder how those 3 feet high high deep water tsunamis always look like they are 200 feet high,1
landslide also cause tsunami s,1
out of all the actual monster wave footage out there these are the 4 you choose to highlight in a video the first one ok but come on man i ve had bigger waves in my bathtub yawn,1
clickbait trash your thumbnail says it all,0
wait if the wave travels at 500miles an hour why didn t it pass the boat at high speed they watched it lift the boat and roll under it,1
sorry but what about the 2004 boxing day tsunami i was fully expecting it to be in the no 1 spot,1
the number 3 ranked tsunami in this video seems sketchy monster really,1
thanks god we arabs live in the desert,0
the uae is situated right at the epicenter of an open ocean so let one asteroid or comet smack the ocean like that s it you re done for no more united arab emirates,0
this video sucks no mention of the catastrophic devastating tsunami that hit indonesia but they show the relatively minor tsunamis that occurred in turkey and tonga what is more the footage this video uses is pretty lame there are much better tsunami videos on youtube than this one don t waste your time,1
we should be able to harvest the tsunami energy this would mean energy reservation for many many months or years for a territory,1
very interesting three of these i didn t know of one clip that depicts the unimaginable size of a mega tsunami is from omoe in japan it reached a height of 40 5 meters the insane power of mother nature is second to none love the fact that you showed clips that are less frequent here on youtube,1
the height was watermarks on hillsides outside seawalls water collecting on the outside not wave height afaik,1
