clean_text,keywords
big wave dragging things sea,"wave dragging, big wave, wave, things sea, sea"
storm surge continues intensify,"storm surge, surge continues, surge, continues intensify, storm"
wave height increasing continuously,"wave height, increasing continuously, height increasing, increasing, wave"
unusual swell observed early morning,"unusual swell, swell observed, swell, morning, early morning"
boats struggling remain stable,"boats struggling, boats, remain stable, stable, struggling remain"
dangerous undertow forming today,"undertow forming, dangerous undertow, undertow, forming today, dangerous"
local area completely flooded,"completely flooded, flooded, local area, area completely, area"
road blocked due sea water,"blocked sea, road blocked, sea water, sea, road"
cyclone induced wave hitting hard,"cyclone induced, wave hitting, cyclone, induced wave, hitting hard"
pile debris seen after wave,"pile debris, debris seen, debris, seen wave, pile"
angry wave causing destruction,"angry wave, wave causing, wave, causing destruction, destruction"
water rising above ankle level,"rising ankle, water rising, ankle level, ankle, rising"
multiple wave hitting rapidly,"wave hitting, multiple wave, wave, hitting rapidly, hitting"
storm water forcing entry building,"storm water, water forcing, storm, entry building, building"
seawater entering farm area,"seawater entering, seawater, entering farm, farm area, farm"
dock almost submerged wave,"dock submerged, submerged wave, dock, submerged, wave"
harbor closed due unsafe wave,"harbor closed, unsafe wave, harbor, closed unsafe, wave"
sailors warned unpredictable tide,"sailors warned, unpredictable tide, sailors, tide, warned unpredictable"
flood like situation developing,"flood like, flood, situation developing, developing, like situation"
water covering pavement quickly,"pavement quickly, covering pavement, pavement, water covering, water"
large foam wave indicating danger,"foam wave, large foam, wave indicating, foam, wave"
wave carrying heavy debris,"wave carrying, heavy debris, wave, debris, carrying heavy"
sharp rise water pressure,"water pressure, sharp rise, rise water, pressure, rise"
wave knocking people down,"wave knocking, wave, knocking people, knocking, people"
evacuation started due strong wave,"evacuation started, evacuation, strong wave, wave, started strong"
hazardous situation worsening,"hazardous situation, hazardous, situation worsening, worsening, situation"
tsunami like wave observed,"tsunami like, tsunami, wave observed, wave, like wave"
sirens heard near coastline,"sirens heard, sirens, near coastline, coastline, heard near"
rescue operation underway beach,"underway beach, rescue operation, operation underway, beach, rescue"
deadly wave approaching shore,"deadly wave, approaching shore, wave approaching, shore, wave"
strong turbulence seen ocean,"strong turbulence, turbulence seen, turbulence, seen ocean, ocean"
tide overtaking safety barrier,"tide overtaking, overtaking safety, safety barrier, tide, overtaking"
storm approaching coastline fast,"storm approaching, coastline fast, approaching coastline, storm, coastline"
sea turning dark extremely violent,"sea turning, turning dark, sea, dark extremely, dark"
wet sand moving backwards speed,"sand moving, wet sand, backwards speed, sand, moving backwards"
beachside shop flooded wave,"flooded wave, shop flooded, beachside shop, beachside, flooded"
water rising alarming speed,"water rising, alarming speed, rising alarming, water, alarming"
danger visible ocean today,"visible ocean, ocean today, danger visible, ocean, danger"
extremely rough sea condition,"rough sea, sea condition, extremely rough, rough, sea"
hazard predicted tonight,"hazard predicted, hazard, predicted tonight, predicted, tonight"
sharp wave hitting coastline,"sharp wave, hitting coastline, wave hitting, coastline, wave"
powerful surge shaking coastline,"shaking coastline, surge shaking, powerful surge, coastline, surge"
dangerous pull dragging objects sea,"pull dragging, dangerous pull, dragging, dragging objects, objects sea"
public urged maintain distance,"maintain distance, public urged, urged maintain, urged, distance"
flood water entering basement,"flood water, entering basement, flood, water entering, basement"
dangerous rip current noticed,"rip current, dangerous rip, current noticed, current, rip"
serious tide pressure building,"tide pressure, pressure building, tide, pressure, building"
multiple people rescued today,"people rescued, rescued today, rescued, multiple people, people"
harbor wave height extremely high,"wave height, harbor wave, harbor, height extremely, wave"
crashing wave heard distance,"crashing wave, wave heard, heard distance, wave, crashing"
sea water flooding entire pathway,"water flooding, flooding entire, sea water, flooding, sea"
parking lot filled seawater,"parking lot, filled seawater, parking, seawater, lot filled"
boat almost capsizing rough wave,"boat capsizing, rough wave, capsizing rough, boat, wave"
panic visible people near beach,"panic visible, panic, beach, near beach, visible people"
wake forming large water wall,"wake forming, water wall, wake, large water, wall"
coastal area highly unstable today,"coastal area, coastal, unstable today, highly unstable, unstable"
storm surge damaging fence,"storm surge, surge damaging, damaging fence, surge, storm"
water force increasing rapidly,"water force, force increasing, increasing rapidly, increasing, force"
currents too strong swimming,"strong swimming, currents strong, currents, swimming, strong"
wave hitting consistently hard,"wave hitting, wave, hitting consistently, hitting, consistently hard"
body of water pushed strongly,"water pushed, pushed strongly, pushed, body water, strongly"
giant swell approaching beach,"giant swell, swell approaching, approaching beach, swell, beach"
deep water rising surface level,"water rising, surface level, rising surface, deep water, rising"
shoreline shrinking rapidly,"shoreline shrinking, shoreline, shrinking rapidly, shrinking, rapidly"
angry tide hitting wall,"angry tide, tide hitting, tide, hitting wall, wall"
local fishermen extremely worried,"local fishermen, fishermen extremely, fishermen, extremely worried, worried"
boats tied tightly avoid drift,"boats tied, boats, avoid drift, tied tightly, drift"
coastal homes threatened rising water,"coastal homes, rising water, homes threatened, coastal, threatened rising"
flooding happening real time,"flooding happening, flooding, real time, happening real, real"
hazard sign everywhere today,"hazard sign, hazard, sign today, sign, today"
unusually violent water movement,"violent water, water movement, unusually violent, violent, water"
bridge walkway underwater already,"walkway underwater, bridge walkway, bridge, walkway, underwater"
pathway filled sudden water rush,"water rush, sudden water, pathway filled, filled sudden, pathway"
immediate danger visible coastline,"visible coastline, coastline, danger visible, immediate danger, danger"
panic growing due extreme waves,"panic growing, extreme waves, panic, waves, growing extreme"
beautiful sunset beach,"sunset beach, beautiful sunset, sunset, beach, beautiful"
calm water today,"calm water, water today, calm, water, today"
weather pleasant people enjoying,"weather pleasant, people enjoying, pleasant people, weather, pleasant"
sea look peaceful morning,"peaceful morning, sea look, look peaceful, sea, morning"
tourist enjoying vacation,"tourist enjoying, tourist, enjoying vacation, vacation, enjoying"
nothing unusual happening,"unusual happening, unusual, happening"
children playing sand,"playing sand, children playing, sand, children, playing"
cool breeze near sea,"breeze near, cool breeze, breeze, near sea, sea"
family walking beach,"walking beach, family walking, beach, family, walking"
sunrise wonderful today,"sunrise wonderful, sunrise, wonderful today, today, wonderful"
beach crowded weekend,"beach crowded, crowded weekend, beach, weekend, crowded"
calm tide today,"calm tide, tide today, tide, calm, today"
sky look clear,"sky look, sky, look clear, clear, look"
fisherman preparing net peacefully,"fisherman preparing, fisherman, preparing net, net peacefully, net"
day perfect walk beach,"walk beach, perfect walk, day perfect, beach, walk"
beautiful scene coastline,"scene coastline, coastline, beautiful scene, scene, beautiful"
enjoying calm wave,"calm wave, enjoying calm, wave, calm, enjoying"
nature look stunning today,"nature look, stunning today, look stunning, nature, stunning"
peaceful environment around sea,"peaceful environment, environment sea, sea, peaceful, environment"
people relaxing near shore,"people relaxing, relaxing near, relaxing, shore, near shore"
perfect weather outing,"weather outing, perfect weather, weather, outing, perfect"
beach vibe amazing today,"beach vibe, vibe amazing, beach, vibe, amazing today"
nothing alarming right now,"alarming, alarming right, right"
lifeguard watching normally,"lifeguard watching, lifeguard, watching normally, watching, normally"
boats moving smoothly sea,"boats moving, smoothly sea, boats, moving smoothly, sea"
sunshine bright making day pleasant,"sunshine bright, sunshine, day pleasant, bright making, pleasant"
tourist capturing photos beach,"photos beach, tourist capturing, capturing photos, beach, tourist"
family enjoying picnic near sea,"family enjoying, picnic near, enjoying picnic, picnic, family"
beach day well spent,"beach day, day spent, beach, day, spent"
calm morning near water,"calm morning, morning near, morning, near water, calm"
routine activity happening beach,"happening beach, beach, routine activity, activity, activity happening"
sea look gentle today,"sea look, sea, gentle today, look gentle, gentle"
people jogging peacefully,"jogging peacefully, people jogging, jogging, peacefully, people"
beautiful blue wave today,"blue wave, wave today, wave, beautiful blue, blue"
nothing panic everyone chill,"panic chill, panic, chill"
weather peaceful day,"weather peaceful, peaceful day, weather, peaceful, day"
children building sandcastle,"building sandcastle, children building, sandcastle, children, building"
bird flying around sea,"bird flying, flying sea, bird, flying, sea"
sky bright everything normal,"sky bright, bright normal, sky, bright, normal"
no disturbance sea today,"disturbance sea, sea today, disturbance, sea, today"
locals enjoying tea beach,"tea beach, locals enjoying, enjoying tea, tea, locals"
nothing special happening coastline,"happening coastline, coastline, special happening, special, happening"
wave gentle soothing,"wave gentle, gentle soothing, soothing, wave, gentle"
sunny day perfect moment,"sunny day, sunny, perfect moment, day perfect, day"
tourist clicking picture happily,"tourist clicking, clicking picture, tourist, picture happily, clicking"
 couple taking photo beach,"photo beach, couple taking, couple, taking photo, beach"
musicians playing guitar near sea,"musicians playing, guitar near, playing guitar, musicians, guitar"
kids running around sand,"kids running, running sand, sand, kids, running"
beach vendor selling snack,"beach vendor, selling snack, vendor selling, vendor, snack"
breeze refreshing feel good,"breeze refreshing, breeze, refreshing feel, refreshing, feel good"
fun moment near ocean,"near ocean, ocean, fun moment, moment near, moment"
dog playing near water,"dog playing, near water, dog, water, playing near"
walking shore relaxing,"shore relaxing, walking shore, shore, relaxing, walking"
conversation friends near sea,"conversation friends, friends near, near sea, sea, conversation"
family laughing enjoying weather,"family laughing, enjoying weather, laughing enjoying, laughing, family"
no heavy tide right now,"heavy tide, tide right, tide, heavy, right"
people swimming calmly,"swimming calmly, people swimming, swimming, calmly, people"
evening walk peaceful,"evening walk, walk peaceful, walk, peaceful, evening"
sky pink sunset moment,"pink sunset, sunset moment, sunset, sky pink, sky"
fresh air near ocean,"fresh air, air near, near ocean, ocean, air"
food stall crowded today,"food stall, stall crowded, stall, crowded today, crowded"
beach festival happening joyfully,"beach festival, festival happening, festival, beach, happening joyfully"
tourist boating calm water,"tourist boating, boating calm, calm water, boating, tourist"
pleasant smell ocean breeze,"ocean breeze, smell ocean, pleasant smell, breeze, smell"
beach clean today nice,"beach clean, clean today, beach, today nice, clean"
locals organizing small event,"locals organizing, small event, locals, organizing small, organizing"
everyone comfortable environment,"comfortable environment, environment, comfortable"
no issue sea condition,"sea condition, issue sea, sea, condition, issue"
wind normal everything stable,"wind normal, normal stable, wind, stable, normal"
regular fishing activity,"fishing activity, regular fishing, fishing, activity, regular"
normal tide pattern seen,"tide pattern, normal tide, tide, pattern seen, pattern"
tourist enjoying local food,"local food, tourist enjoying, tourist, enjoying local, food"
calm shallow water safe,"water safe, shallow water, calm shallow, water, shallow"
children learning swimming,"learning swimming, children learning, swimming, children, learning"
shoreline quiet peaceful,"shoreline quiet, quiet peaceful, shoreline, peaceful, quiet"
local celebrating small festival,"small festival, local celebrating, festival, celebrating small, celebrating"
people enjoying photography,"enjoying photography, people enjoying, photography, people, enjoying"
cool weather relaxing vibe,"weather relaxing, relaxing vibe, relaxing, cool weather, weather"
music playing background,"playing background, music playing, background, music, playing"
crowd normal nothing alarming,"crowd normal, normal alarming, alarming, crowd, normal"
beautiful ocean reflection,"ocean reflection, beautiful ocean, ocean, reflection, beautiful"
soft wave touching feet,"wave touching, soft wave, touching feet, wave, touching"
family clicking group photo,"family clicking, group photo, clicking group, family, group"
picnic spot lively,"picnic spot, picnic, spot lively, spot, lively"
clear water shining sun,"water shining, shining sun, clear water, sun, shining"
pleasant weekend beachside,"weekend beachside, beachside, pleasant weekend, weekend, pleasant"
tourist resting sunbed,"resting sunbed, tourist resting, sunbed, resting, tourist"
joggers passing coastline,"joggers passing, joggers, passing coastline, coastline, passing"
cycle ride beach great,"ride beach, beach great, cycle ride, beach, cycle"
sea full positive vibe,"sea positive, positive vibe, sea, vibe, positive"
everyone feeling relaxed,"feeling relaxed, relaxed, feeling"
no alert from authority,"alert authority, alert, authority"
people enjoying coconut water,"coconut water, enjoying coconut, coconut, people enjoying, water"
open sky look great,"open sky, sky look, sky, look great, open"
family gathering beach evening,"gathering beach, beach evening, family gathering, beach, gathering"
shore calm no tension,"shore calm, calm tension, shore, tension, calm"
walking dog coastline,"dog coastline, walking dog, coastline, dog, walking"
kite flying event today,"kite flying, kite, flying event, event today, flying"
quiet afternoon beach,"afternoon beach, quiet afternoon, beach, afternoon, quiet"
people enjoying surfing safely,"surfing safely, enjoying surfing, surfing, people enjoying, people"
ocean sound soothing,"ocean sound, sound soothing, ocean, soothing, sound"
peaceful morning jog,"morning jog, peaceful morning, jog, morning, peaceful"
beachside cafe packed,"beachside cafe, cafe packed, beachside, cafe, packed"
day simple normal coastline,"normal coastline, coastline, day simple, day, simple normal"
water level rising very fast here,"water level, level rising, rising fast, rising, water"
waves hitting the rocks too hard,"waves hitting, hitting rocks, waves, rocks hard, rocks"
sea water reached the road today,"water reached, sea water, reached road, sea, road today"
tide looks completely abnormal,"tide looks, tide, completely abnormal, abnormal, looks completely"
people running away from the beach,"people running, running away, away beach, beach, away"
sky looking scary near the shore,"sky looking, sky, looking scary, shore, near shore"
wind speed increasing every minute,"wind speed, increasing minute, speed increasing, wind, increasing"
coast guard warning everyone to move back,"coast guard, guard warning, coast, guard, warning"
loud roar from the sea very unusual,"roar sea, loud roar, sea unusual, roar, sea"
dangerous waves spotted near the lighthouse,"dangerous waves, waves spotted, near lighthouse, lighthouse, waves"
huge wave almost hit the footpath,"huge wave, wave hit, hit footpath, wave, footpath"
boats shaking heavily near harbor,"boats shaking, shaking, shaking heavily, harbor, boats"
alert issued due to rising tide,"rising tide, alert issued, alert, tide, issued rising"
sea behaving strangely since morning,"sea behaving, sea, strangely morning, morning, behaving strangely"
crowd panicking after sudden splash,"crowd panicking, sudden splash, panicking sudden, splash, crowd"
water flooded the entry area,"flooded entry, water flooded, flooded, entry area, water"
severe erosion visible today,"erosion visible, severe erosion, erosion, visible today, visible"
waves too high no one safe,"waves high, waves, high safe, safe, high"
coastal road completely wet dangerous,"wet dangerous, coastal road, coastal, completely wet, road completely"
people screaming scary situation,"people screaming, screaming scary, screaming, scary situation, scary"
lifeguards shouting asking people to leave,"lifeguards shouting, lifeguards, people leave, shouting asking, shouting"
danger alert issued heavy waves,"danger alert, heavy waves, alert issued, danger, alert"
jo pani ka level h badh raha h,"pani ka, ka level, badh raha, jo pani, raha"
samundar ka paani bahut tez aa raha,"samundar ka, ka paani, paani bahut, aa raha, bahut tez"
bahut zyada wave aa rahi hai,"rahi hai, bahut zyada, zyada wave, wave aa, aa rahi"
log bhaag rahe hain beach se,"log bhaag, hain beach, rahe hain, beach se, bhaag rahe"
aaj sea bahut angry lag raha,"lag raha, bahut angry, aaj sea, sea bahut, aaj"
coast pe bahut tez hawa chal rahi hai,"hawa chal, rahi hai, chal rahi, hai, tez hawa"
paani neeche se upar chadh raha,"upar chadh, se upar, chadh raha, paani neeche, neeche se"
wave ekdum head ke upar tak aa gaya,"aa gaya, upar tak, tak aa, wave ekdum, gaya"
sea ka color change ho raha,"ka color, sea ka, color change, ho raha, ka"
pani bahut tez takra raha pathar se,"raha pathar, takra raha, pani bahut, bahut tez, tez takra"
logon me darr fail gaya hai,"gaya hai, fail gaya, logon darr, gaya, hai"
beach par panic situation hai,"par panic, panic situation, situation hai, beach par, panic"
sea extremely violent today,"sea extremely, violent today, sea, extremely violent, violent"
massive wave came out of nowhere,"massive wave, wave came, wave, massive, came"
kids crying seeing huge waves,"kids crying, crying seeing, huge waves, crying, waves"
almost like mini tsunami here,"mini tsunami, tsunami, like mini, mini, like"
storm-like condition near beach,"storm like, storm, beach, near beach, condition near"
bridge area completely flooded,"bridge area, completely flooded, flooded, bridge, area completely"
flood water entering shops,"flood water, water entering, flood, entering shops, shops"
fishermen asked not to go inside,"fishermen asked, fishermen, asked inside, inside, asked"
waves crossing warning line,"waves crossing, crossing warning, waves, warning line, warning"
dangerous situation unfolding,"situation unfolding, dangerous situation, unfolding, dangerous, situation"
high tide hitting buildings,"high tide, tide hitting, hitting buildings, tide, buildings"
waves touching the parking area,"waves touching, touching parking, waves, parking, parking area"
local people saying never seen this before,"local people, local, saying seen, seen, people saying"
sea roaring loudly feels dangerous,"sea roaring, roaring loudly, roaring, loudly feels, loudly"
beach area sealed due to risk,"area sealed, sealed risk, beach area, beach, sealed"
unexpected water surge scary,"water surge, surge scary, unexpected water, surge, scary"
pani raste tak aa gaya,"aa gaya, raste tak, tak aa, pani raste, gaya"
samundar bahut gussa me lagta,"samundar bahut, bahut gussa, gussa lagta, samundar, bahut"
tez hawa aur huge waves,"huge waves, tez hawa, hawa aur, waves, hawa"
fisherman warning others danger,"fisherman warning, warning danger, fisherman, danger, warning"
big wave pushed people back,"big wave, wave pushed, wave, pushed people, pushed"
rocks completely underwater,"rocks completely, completely underwater, underwater, rocks, completely"
sudden rise in water level,"water level, rise water, sudden rise, rise, water"
boats returning immediately danger,"boats returning, boats, immediately danger, returning immediately, danger"
scary moment near harbor,"scary moment, harbor, near harbor, moment near, scary"
sea pulling water strongly inside,"sea pulling, pulling water, water strongly, sea, strongly inside"
bahut hi khatarnak wave,"khatarnak wave, wave, hi khatarnak, khatarnak, bahut hi"
high wave washed away chairs,"wave washed, away chairs, chairs, high wave, washed away"
entire shore flooded,"shore flooded, entire shore, flooded, shore, entire"
road blocked due to sea water,"blocked sea, road blocked, sea water, sea, blocked"
sea waves extremely aggressive,"sea waves, waves extremely, waves, sea, extremely aggressive"
samundar ka pani upar aa gaya,"samundar ka, aa gaya, ka pani, pani upar, gaya"
danger zone declared,"danger zone, zone declared, danger, zone, declared"
beach closed because high tide,"beach closed, high tide, tide, beach, closed high"
boats struggling to stay stable,"boats struggling, boats, stay stable, stable, struggling stay"
sea pushing water violently,"sea pushing, pushing water, water violently, sea, pushing"
flood-like condition visible,"flood like, flood, condition visible, visible, condition"
strong storm waves,"storm waves, strong storm, storm, waves, strong"
local warning announced,"local warning, warning announced, warning, local, announced"
coastal region under red alert,"coastal region, region red, red alert, coastal, region"
nature seems furious today,"nature furious, nature, furious today, furious, today"
bahut tez awaaz aa rahi waves ki,"rahi waves, aa rahi, bahut tez, waves ki, bahut"
waves crossing the danger mark,"waves crossing, waves, crossing danger, danger mark, danger"
waves destroying beach shops,"waves destroying, destroying beach, beach shops, waves, beach"
lifeguards rushing everyone back,"lifeguards rushing, lifeguards, rushing"
dangerous splash hit crowd,"dangerous splash, splash hit, hit crowd, splash, crowd"
coastline disappearing underwater,"coastline disappearing, coastline, disappearing underwater, underwater, disappearing"
house near beach flooded,"beach flooded, flooded, beach, near beach, house near"
breakwater underwater today,"breakwater underwater, breakwater, underwater today, underwater, today"
wind dangerously strong,"wind dangerously, dangerously strong, wind, dangerously, strong"
boats almost flipping,"boats flipping, boats, flipping"
heavy rainfall + storm waves,"storm waves, rainfall storm, heavy rainfall, rainfall, storm"
sudden water burst from sea,"water burst, sudden water, burst sea, sea, burst"
waves too unpredictable,"waves unpredictable, waves, unpredictable"
public told to stay indoors,"stay indoors, indoors, public, public told, told stay"
strong current pulling people,"current pulling, strong current, pulling people, pulling, current"
sea completely uncontrolled,"sea completely, completely uncontrolled, sea, uncontrolled, completely"
massive water column rising,"water column, massive water, column rising, rising, water"
frightening sea behaviour,"sea behaviour, frightening sea, sea, frightening, behaviour"
beach lights flickering storm,"flickering storm, beach lights, lights flickering, flickering, storm"
waves repeatedly hitting same spot,"waves repeatedly, waves, repeatedly hitting, hitting spot, repeatedly"
sand collapsing near waterline,"sand collapsing, sand, waterline, near waterline, collapsing near"
pani idhar udhar fail raha,"pani idhar, idhar udhar, fail raha, udhar fail, idhar"
samundar bahut tezi se aa raha,"samundar bahut, bahut tezi, aa raha, samundar, raha"
sea water entering parking,"entering parking, water entering, sea water, parking, sea"
everything looks dangerous today,"dangerous today, looks dangerous, dangerous, looks, today"
tide almost touching the road,"tide touching, tide, touching road, road, touching"
