clean_text,label
beach festival happening joyfully,0
tourist boating calm water,0
pleasant smell ocean breeze,0
beach clean today nice,0
locals organizing small event,0
everyone comfortable environment,0
no issue sea condition,0
wind normal everything stable,0
regular fishing activity,0
normal tide pattern seen,0
tourist enjoying local food,0
calm shallow water safe,0
children learning swimming,0
shoreline quiet peaceful,0
local celebrating small festival,0
people enjoying photography,0
cool weather relaxing vibe,0
music playing background,0
crowd normal nothing alarming,0
beautiful ocean reflection,0
soft wave touching feet,0
family clicking group photo,0
picnic spot lively,0
clear water shining sun,0
pleasant weekend beachside,0
tourist resting sunbed,0
joggers passing coastline,0
cycle ride beach great,0
sea full positive vibe,0
everyone feeling relaxed,0
no alert from authority,0
people enjoying coconut water,0
open sky look great,0
family gathering beach evening,0
shore calm no tension,0
walking dog coastline,0
kite flying event today,0
quiet afternoon beach,0
people enjoying surfing safely,0
ocean sound soothing,0
peaceful morning jog,0
beachside cafe packed,0
day simple normal coastline,0
water level rising very fast here,1
waves hitting the rocks too hard,1
sea water reached the road today,1
tide looks completely abnormal,1
people running away from the beach,1
sky looking scary near the shore,1
wind speed increasing every minute,1
coast guard warning everyone to move back,1
loud roar from the sea very unusual,1
dangerous waves spotted near the lighthouse,1
huge wave almost hit the footpath,1
boats shaking heavily near harbor,1
alert issued due to rising tide,1
sea behaving strangely since morning,1
crowd panicking after sudden splash,1
water flooded the entry area,1
severe erosion visible today,1
waves too high no one safe,1
coastal road completely wet dangerous,1
people screaming scary situation,1
lifeguards shouting asking people to leave,1
danger alert issued heavy waves,1
jo pani ka level h badh raha h,1
samundar ka paani bahut tez aa raha,1
bahut zyada wave aa rahi hai,1
log bhaag rahe hain beach se,1
aaj sea bahut angry lag raha,1
coast pe bahut tez hawa chal rahi hai,1
paani neeche se upar chadh raha,1
wave ekdum head ke upar tak aa gaya,1
sea ka color change ho raha,1
pani bahut tez takra raha pathar se,1
logon me darr fail gaya hai,1
beach par panic situation hai,1
sea extremely violent today,1
massive wave came out of nowhere,1
kids crying seeing huge waves,1
almost like mini tsunami here,1
storm-like condition near beach,1
bridge area completely flooded,1
flood water entering shops,1
fishermen asked not to go inside,1
waves crossing warning line,1
dangerous situation unfolding,1
high tide hitting buildings,1
waves touching the parking area,1
local people saying never seen this before,1
sea roaring loudly feels dangerous,1
beach area sealed due to risk,1
unexpected water surge scary,1
pani raste tak aa gaya,1
samundar bahut gussa me lagta,1
tez hawa aur huge waves,1
fisherman warning others danger,1
big wave pushed people back,1
rocks completely underwater,1
sudden rise in water level,1
boats returning immediately danger,1
scary moment near harbor,1
sea pulling water strongly inside,1
bahut hi khatarnak wave,1
high wave washed away chairs,1
entire shore flooded,1
road blocked due to sea water,1
sea waves extremely aggressive,1
samundar ka pani upar aa gaya,1
danger zone declared,1
beach closed because high tide,1
boats struggling to stay stable,1
sea pushing water violently,1
flood-like condition visible,1
strong storm waves,1
local warning announced,1
coastal region under red alert,1
nature seems furious today,1
bahut tez awaaz aa rahi waves ki,1
waves crossing the danger mark,1
waves destroying beach shops,1
lifeguards rushing everyone back,1
dangerous splash hit crowd,1
coastline disappearing underwater,1
house near beach flooded,1
breakwater underwater today,1
wind dangerously strong,1
boats almost flipping,1
heavy rainfall + storm waves,1
sudden water burst from sea,1
waves too unpredictable,1
public told to stay indoors,1
strong current pulling people,1
sea completely uncontrolled,1
massive water column rising,1
frightening sea behaviour,1
beach lights flickering storm,1
waves repeatedly hitting same spot,1
sand collapsing near waterline,1
pani idhar udhar fail raha,1
samundar bahut tezi se aa raha,1
sea water entering parking,1
everything looks dangerous today,1
tide almost touching the road,1
